ZIP,COUNTY,GEOID,ZPOP
601,1,72001,18570
601,141,72141,18570
602,3,72003,41520
603,5,72005,54689
606,93,72093,6615
606,121,72121,6615
606,153,72153,6615
610,3,72003,29016
610,11,72011,29016
612,13,72013,67010
612,17,72017,67010
616,13,72013,11017
617,17,72017,24597
617,54,72054,24597
622,23,72023,7853
623,23,72023,43061
624,111,72111,26241
624,113,72113,26241
627,27,72027,35159
631,1,72001,1852
631,81,72081,1852
637,121,72121,25287
637,153,72153,25287
638,39,72039,18941
638,91,72091,18941
641,1,72001,31191
641,141,72141,31191
646,51,72051,38199
646,143,72143,38199
647,55,72055,6172
647,79,72079,6172
650,13,72013,14998
650,17,72017,14998
650,39,72039,14998
650,54,72054,14998
650,141,72141,14998
652,13,72013,4715
653,55,72055,13307
656,59,72059,21481
659,65,72065,41953
660,67,72067,17250
662,71,72071,43282
664,73,72073,16784
664,141,72141,16784
667,79,72079,25968
667,125,72125,25968
669,81,72081,29744
669,83,72083,29744
669,131,72131,29744
670,11,72011,9807
670,83,72083,9807
674,91,72091,44457
674,145,72145,44457
676,3,72003,40316
676,99,72099,40316
677,3,72003,15272
677,117,72117,15272
678,71,72071,27819
678,115,72115,27819
678,131,72131,27819
680,11,72011,58140
680,97,72097,58140
680,125,72125,58140
682,97,72097,32615
683,125,72125,33772
685,71,72071,42831
685,131,72131,42831
687,101,72101,32610
688,13,72013,13543
690,5,72005,6255
692,143,72143,37511
693,143,72143,61038
693,145,72145,61038
694,145,72145,328
698,59,72059,41782
698,153,72153,41782
703,7,72007,28605
703,45,72045,28605
704,57,72057,8577
704,123,72123,8577
705,9,72009,25598
705,43,72043,25598
707,95,72095,12225
714,15,72015,19566
715,75,72075,3656
715,113,72113,3656
716,113,72113,33779
717,113,72113,18457
718,103,72103,26606
719,47,72047,30990
719,105,72105,30990
719,135,72135,30990
720,43,72043,23129
720,107,72107,23129
723,109,72109,19277
725,7,72007,89374
725,25,72025,89374
725,35,72035,89374
725,61,72061,89374
725,127,72127,89374
725,129,72129,89374
727,25,72025,58382
728,113,72113,44908
729,29,72029,53750
729,87,72087,53750
730,113,72113,35742
731,1,72001,15524
731,113,72113,15524
735,37,72037,13730
735,103,72103,13730
736,35,72035,51532
736,41,72041,51532
738,53,72053,34922
739,41,72041,39678
740,53,72053,2071
741,69,72069,4971
745,29,72029,55062
745,119,72119,55062
751,123,72123,23129
754,129,72129,40828
757,133,72133,23263
765,147,72147,9098
766,107,72107,26488
766,149,72149,26488
767,69,72069,38019
767,151,72151,38019
769,43,72043,40248
771,85,72085,38394
772,87,72087,23105
773,89,72089,20068
775,49,72049,1786
777,29,72029,40684
777,63,72063,40684
777,77,72077,40684
777,85,72085,40684
778,63,72063,45429
778,129,72129,45429
780,75,72075,13800
780,113,72113,13800
782,45,72045,19304
783,47,72047,36557
784,57,72057,44637
786,9,72009,357
791,69,72069,53417
794,19,72019,30585
794,43,72043,30585
794,45,72045,30585
795,75,72075,48736
901,127,72127,7080
906,127,72127,4
907,127,72127,17458
909,127,72127,6230
911,127,72127,8623
912,127,72127,6801
913,127,72127,9312
915,127,72127,32820
917,127,72127,21053
918,127,72127,18056
920,127,72127,17893
921,127,72127,37763
923,127,72127,29086
924,31,72031,56691
924,127,72127,56691
925,127,72127,8696
926,61,72061,108862
926,127,72127,108862
926,139,72139,108862
927,127,72127,14936
934,21,72021,288
934,61,72061,288
936,127,72127,681
949,33,72033,82278
949,137,72137,82278
950,51,72051,9
951,137,72137,35
952,137,72137,10008
953,47,72047,73014
953,135,72135,73014
953,137,72137,73014
956,21,72021,79304
956,135,72135,79304
957,21,72021,45680
957,135,72135,45680
959,21,72021,50560
959,61,72061,50560
959,135,72135,50560
959,137,72137,50560
960,21,72021,1779
961,21,72021,32429
961,33,72033,32429
962,33,72033,22491
965,33,72033,9134
965,61,72061,9134
966,21,72021,16676
966,61,72061,16676
966,127,72127,16676
968,61,72061,3478
969,21,72021,42219
969,61,72061,42219
969,127,72127,42219
971,21,72021,30986
971,61,72061,30986
971,127,72127,30986
976,31,72031,65136
976,127,72127,65136
976,139,72139,65136
979,31,72031,17030
982,31,72031,16428
983,31,72031,39234
985,31,72031,36553
987,31,72031,63661
987,139,72139,63661
1001,13,25013,16769
1002,11,25011,29049
1002,15,25015,29049
1003,15,25015,10372
1005,27,25027,5079
1007,15,25015,14649
1008,13,25013,1263
1009,13,25013,741
1010,13,25013,3609
1011,13,25013,1370
1011,15,25015,1370
1012,15,25015,661
1013,13,25013,23188
1020,13,25013,29668
1022,13,25013,2451
1026,15,25015,946
1027,15,25015,17660
1028,13,25013,15720
1029,3,25003,789
1030,13,25013,11669
1031,27,25027,1308
1032,15,25015,570
1033,15,25015,6227
1034,13,25013,2021
1035,15,25015,5250
1036,13,25013,5109
1037,27,25027,838
1038,15,25015,2545
1039,11,25011,1336
1039,15,25015,1336
1040,13,25013,39880
1050,13,25013,2530
1050,15,25015,2530
1053,15,25015,1685
1054,11,25011,1851
1056,13,25013,21103
1057,13,25013,8534
1060,15,25015,15284
1062,15,25015,11150
