YEARDATE,MONTHLY_COUNT,SMOOTH_COUNT
200601,2.96E+07,2.84E+07
200602,2.72E+07,2.96E+07
200603,3.21E+07,2.95E+07
200604,2.92E+07,2.96E+07
200605,2.73E+07,3.01E+07
200606,3.37E+07,3.10E+07
200607,3.19E+07,3.31E+07
200608,3.38E+07,3.24E+07
200609,3.15E+07,3.28E+07
200610,3.33E+07,3.08E+07
200611,2.78E+07,3.12E+07
200612,3.25E+07,3.17E+07
200701,3.47E+07,3.30E+07
200702,3.16E+07,3.45E+07
200703,3.71E+07,3.38E+07
200704,3.26E+07,3.52E+07
200705,3.58E+07,3.43E+07
200706,3.45E+07,3.53E+07
200707,3.58E+07,3.57E+07
200708,3.67E+07,3.52E+07
200709,3.30E+07,3.58E+07
200710,3.76E+07,3.53E+07
200711,3.52E+07,3.65E+07
200712,3.68E+07,3.66E+07
200801,3.77E+07,3.66E+07
200802,3.51E+07,3.67E+07
200803,3.72E+07,3.65E+07
200804,3.71E+07,3.73E+07
200805,3.75E+07,3.72E+07
200806,3.71E+07,3.82E+07
200807,4.00E+07,3.81E+07
200808,3.73E+07,3.86E+07
200809,3.86E+07,3.88E+07
200810,4.06E+07,3.83E+07
200811,3.58E+07,3.98E+07
200812,4.30E+07,3.90E+07
200901,3.83E+07,3.94E+07
200902,3.70E+07,3.90E+07
200903,4.17E+07,3.97E+07
200904,4.05E+07,4.07E+07
200905,4.00E+07,4.10E+07
200906,4.26E+07,4.17E+07
200907,4.24E+07,4.14E+07
200908,3.92E+07,4.10E+07
200909,4.15E+07,4.11E+07
200910,4.26E+07,4.14E+07
200911,4.02E+07,4.27E+07
200912,4.54E+07,4.15E+07
201001,3.90E+07,4.07E+07
201002,3.79E+07,4.07E+07
201003,4.53E+07,4.19E+07
201004,4.24E+07,4.31E+07
201005,4.15E+07,4.29E+07
201006,4.49E+07,4.33E+07
201007,4.36E+07,4.42E+07
201008,4.43E+07,4.40E+07
201009,4.41E+07,4.40E+07
201010,4.36E+07,4.46E+07
201011,4.62E+07,4.56E+07
201012,4.69E+07,4.59E+07
201101,4.47E+07,4.46E+07
201102,4.21E+07,4.54E+07
201103,4.93E+07,4.50E+07
201104,4.37E+07,4.64E+07
201105,4.61E+07,4.61E+07
201106,4.84E+07,4.62E+07
201107,4.40E+07,4.69E+07
201108,4.83E+07,4.64E+07
201109,4.68E+07,4.69E+07
201110,4.57E+07,4.60E+07
201111,4.56E+07,4.60E+07
201112,4.67E+07,4.58E+07
201201,4.49E+07,4.50E+07
201202,4.34E+07,4.46E+07
201203,4.55E+07,4.38E+07
201204,4.26E+07,4.49E+07
201205,4.66E+07,4.44E+07
201206,4.41E+07,4.49E+07
201207,4.41E+07,4.48E+07
201208,4.61E+07,4.37E+07
201209,4.10E+07,4.38E+07
201210,4.43E+07,4.29E+07
201211,4.33E+07,4.31E+07
201212,4.17E+07,4.31E+07
201301,4.41E+07,4.14E+07
201302,3.83E+07,4.07E+07
201303,3.97E+07,4.01E+07
201304,4.23E+07,4.17E+07
201305,4.32E+07,4.16E+07
201306,3.91E+07,4.18E+07
201307,4.31E+07,4.13E+07
201308,4.16E+07,4.05E+07
201309,3.67E+07,3.99E+07
201310,4.14E+07,3.80E+07
201311,3.60E+07,3.86E+07
201312,3.84E+07,3.74E+07
201401,3.79E+07,3.66E+07
201402,3.34E+07,3.62E+07
201403,3.73E+07,3.59E+07
201404,3.70E+07,3.72E+07
201405,3.74E+07,3.72E+07
201406,3.72E+07,3.86E+07
201407,4.13E+07,3.92E+07
201408,3.93E+07,4.01E+07
201409,3.97E+07,4.02E+07
201410,4.16E+07,3.89E+07
201411,3.55E+07,3.98E+07
201412,4.22E+07,3.89E+07
